"shipment_id","order_id","carrier","ship_date","expected_delivery_date","actual_delivery_date","shipment_cost","delivery_status","delivery_days","days_late"
114,114,"Carrier B","2024-01-03","2024-01-10","2024-01-11",27.39,"Late",8,1
115,115,"Carrier D","2024-01-04","2024-01-08","2024-01-08",81.43,"On Time",4,0
116,116,"Carrier A","2024-01-04","2024-01-07","2024-01-06",6.13,"On Time",2,0
117,117,"Carrier A","2024-01-02","2024-01-10","2024-01-11",27.05,"Late",9,1
118,118,"Carrier B","2024-01-02","2024-01-05","2024-01-05",17.24,"On Time",3,0
119,119,"Carrier A","2024-01-04","2024-01-06","2024-01-07",6.17,"Late",3,1
120,120,"Carrier C","2024-01-04","2024-01-05","2024-01-12",61.48,"Late",8,7
121,121,"Carrier D","2024-01-02","2024-01-07","2024-01-09",5.54,"Late",7,2
122,122,"Carrier B","2024-01-02","2024-01-10","2024-01-10",27.90,"On Time",8,0
123,123,"Carrier A","2024-01-03","2024-01-07","2024-01-05",42.38,"On Time",2,0
124,124,"Carrier A","2024-01-04","2024-01-08","2024-01-08",52.12,"On Time",4,0
125,125,"Carrier C","2024-01-04","2024-01-07","2024-01-07",50.71,"On Time",3,0
126,126,"Carrier D","2024-01-04","2024-01-05","2024-01-10",84.45,"Late",6,5
127,127,"Carrier A","2024-01-04","2024-01-06","2024-01-05",62.74,"On Time",1,0
128,128,"Carrier C","2024-01-03","2024-01-10","2024-01-10",11.76,"On Time",7,0
129,129,"Carrier C","2024-01-02","2024-01-09","2024-01-10",79.43,"Late",8,1
130,130,"Carrier C","2024-01-04","2024-01-09","2024-01-09",15.73,"On Time",5,0
131,131,"Carrier B","2024-01-04","2024-01-07","2024-01-07",65.67,"On Time",3,0
132,132,"Carrier C","2024-01-03","2024-01-08","2024-01-08",56.14,"On Time",5,0
133,133,"Carrier D","2024-01-02","2024-01-06","2024-01-06",49.30,"On Time",4,0
134,134,"Carrier C","2024-01-02","2024-01-08","2024-01-08",73.21,"On Time",6,0
135,135,"Carrier D","2024-01-04","2024-01-07","2024-01-07",66.99,"On Time",3,0
136,136,"Carrier C","2024-01-02","2024-01-08","2024-01-09",48.41,"Late",7,1
137,137,"Carrier B","2024-01-02","2024-01-08","2024-01-06",21.34,"On Time",4,0
138,138,"Carrier B","2024-01-03","2024-01-09","2024-01-08",38.92,"On Time",5,0
139,139,"Carrier A","2024-01-04","2024-01-09","2024-01-09",52.25,"On Time",5,0
140,140,"Carrier C","2024-01-02","2024-01-09","2024-01-12",81.12,"Late",10,3
141,141,"Carrier D","2024-01-03","2024-01-10","2024-01-11",40.27,"Late",8,1
142,142,"Carrier D","2024-01-03","2024-01-08","2024-01-08",13.49,"On Time",5,0
143,143,"Carrier D","2024-01-05","2024-01-06","2024-01-06",33.96,"On Time",1,0
144,144,"Carrier A","2024-01-04","2024-01-10",NULL,73.41,"Not Delivered",NULL,0
145,145,"Carrier D","2024-01-05","2024-01-07","2024-01-07",47.50,"On Time",2,0
146,146,"Carrier D","2024-01-05","2024-01-11","2024-01-13",59.63,"Late",8,2
147,147,"Carrier D","2024-01-04","2024-01-11","2024-01-12",26.17,"Late",8,1
148,148,"Carrier D","2024-01-04","2024-01-08","2024-01-08",38.76,"On Time",4,0
149,149,"Carrier A","2024-01-05","2024-01-07","2024-01-12",41.82,"Late",7,5
150,150,"Carrier D","2024-01-05","2024-01-10","2024-01-10",34.32,"On Time",5,0
151,151,"Carrier D","2024-01-05","2024-01-09",NULL,16.44,"Not Delivered",NULL,0
152,152,"Carrier D","2024-01-04","2024-01-08","2024-01-07",60.74,"On Time",3,0
153,153,"Carrier C","2024-01-03","2024-01-11","2024-01-12",66.13,"Late",9,1
154,154,"Carrier D","2024-01-04","2024-01-09","2024-01-08",82.45,"On Time",4,0
155,155,"Carrier A","2024-01-05","2024-01-07","2024-01-07",55.40,"On Time",2,0
156,156,"Carrier A","2024-01-05","2024-01-09","2024-01-10",73.84,"Late",5,1
157,157,"Carrier B","2024-01-05","2024-01-08","2024-01-08",72.52,"On Time",3,0
158,158,"Carrier D","2024-01-05","2024-01-09","2024-01-09",48.92,"On Time",4,0
159,159,"Carrier C","2024-01-03","2024-01-08",NULL,81.16,"Not Delivered",NULL,0
160,160,"Carrier B","2024-01-04","2024-01-08","2024-01-08",65.96,"On Time",4,0
161,161,"Carrier D","2024-01-03","2024-01-07","2024-01-07",6.88,"On Time",4,0
162,162,"Carrier B","2024-01-03","2024-01-09","2024-01-09",6.38,"On Time",6,0
163,163,"Carrier C","2024-01-03","2024-01-08","2024-01-10",54.29,"Late",7,2
164,164,"Carrier C","2024-01-03","2024-01-09","2024-01-09",59.44,"On Time",6,0
165,165,"Carrier C","2024-01-03","2024-01-07","2024-01-07",60.75,"On Time",4,0
166,166,"Carrier B","2024-01-04","2024-01-06","2024-01-06",29.06,"On Time",2,0
167,167,"Carrier A","2024-01-03","2024-01-07","2024-01-09",74.40,"Late",6,2
168,168,"Carrier A","2024-01-03","2024-01-11","2024-01-11",68.27,"On Time",8,0
169,169,"Carrier B","2024-01-05","2024-01-08",NULL,77.78,"Not Delivered",NULL,0
170,170,"Carrier D","2024-01-04","2024-01-10","2024-01-08",81.18,"On Time",4,0
171,171,"Carrier D","2024-01-04","2024-01-11","2024-01-11",57.21,"On Time",7,0
172,172,"Carrier C","2024-01-05","2024-01-09","2024-01-14",23.22,"Late",9,5
173,173,"Carrier B","2024-01-03","2024-01-08","2024-01-10",26.07,"Late",7,2
174,174,"Carrier A","2024-01-03","2024-01-07","2024-01-07",19.26,"On Time",4,0
175,175,"Carrier A","2024-01-03","2024-01-08","2024-01-07",46.73,"On Time",4,0
176,176,"Carrier A","2024-01-03","2024-01-08","2024-01-08",70.25,"On Time",5,0
177,177,"Carrier C","2024-01-03","2024-01-07","2024-01-08",32.62,"Late",5,1
178,178,"Carrier B","2024-01-04","2024-01-10","2024-01-10",35.76,"On Time",6,0
179,179,"Carrier C","2024-01-04","2024-01-11","2024-01-12",68.97,"Late",8,1
180,180,"Carrier D","2024-01-04","2024-01-07","2024-01-06",9.47,"On Time",2,0
181,181,"Carrier D","2024-01-05","2024-01-07","2024-01-07",36.85,"On Time",2,0
182,182,"Carrier D","2024-01-04","2024-01-08","2024-01-08",26.74,"On Time",4,0
183,183,"Carrier C","2024-01-03","2024-01-11","2024-01-11",72.30,"On Time",8,0
184,184,"Carrier D","2024-01-05","2024-01-08","2024-01-11",32.91,"Late",6,3
185,185,"Carrier C","2024-01-03","2024-01-09","2024-01-09",72.57,"On Time",6,0
186,186,"Carrier B","2024-01-03","2024-01-08","2024-01-08",69.07,"On Time",5,0
187,187,"Carrier B","2024-01-05","2024-01-08","2024-01-10",80.70,"Late",5,2
188,188,"Carrier B","2024-01-04","2024-01-07","2024-01-07",30.33,"On Time",3,0
189,189,"Carrier A","2024-01-04","2024-01-11","2024-01-11",76.79,"On Time",7,0
190,190,"Carrier A","2024-01-04","2024-01-11","2024-01-11",59.40,"On Time",7,0
191,191,"Carrier A","2024-01-04","2024-01-09","2024-01-11",12.73,"Late",7,2
192,192,"Carrier C","2024-01-05","2024-01-09","2024-01-12",65.48,"Late",7,3
193,193,"Carrier C","2024-01-03","2024-01-07","2024-01-07",27.10,"On Time",4,0
194,194,"Carrier A","2024-01-04","2024-01-07",NULL,84.78,"Not Delivered",NULL,0
195,195,"Carrier C","2024-01-04","2024-01-10","2024-01-10",74.34,"On Time",6,0
196,196,"Carrier A","2024-01-05","2024-01-08",NULL,67.27,"Not Delivered",NULL,0
197,197,"Carrier A","2024-01-03","2024-01-06","2024-01-09",64.06,"Late",6,3
198,198,"Carrier C","2024-01-03","2024-01-06","2024-01-08",43.38,"Late",5,2
199,199,"Carrier D","2024-01-04","2024-01-07","2024-01-07",44.64,"On Time",3,0
200,200,"Carrier B","2024-01-04","2024-01-09","2024-01-10",69.48,"Late",6,1
201,201,"Carrier A","2024-01-05","2024-01-06","2024-01-07",37.31,"Late",2,1
202,202,"Carrier A","2024-01-04","2024-01-06","2024-01-06",19.08,"On Time",2,0
203,203,"Carrier D","2024-01-03","2024-01-06","2024-01-04",75.38,"On Time",1,0
204,204,"Carrier B","2024-01-05","2024-01-08","2024-01-07",50.07,"On Time",2,0
205,205,"Carrier B","2024-01-04","2024-01-07","2024-01-12",48.77,"Late",8,5
206,206,"Carrier A","2024-01-05","2024-01-11",NULL,24.67,"Not Delivered",NULL,0
207,207,"Carrier D","2024-01-03","2024-01-09","2024-01-09",49.08,"On Time",6,0
208,208,"Carrier C","2024-01-03","2024-01-09","2024-01-09",40.71,"On Time",6,0
209,209,"Carrier C","2024-01-03","2024-01-06","2024-01-08",38.29,"Late",5,2
210,210,"Carrier D","2024-01-04","2024-01-10","2024-01-10",70.00,"On Time",6,0
211,211,"Carrier C","2024-01-03","2024-01-10",NULL,31.75,"Not Delivered",NULL,0
212,212,"Carrier B","2024-01-05","2024-01-09","2024-01-11",70.57,"Late",6,2
213,213,"Carrier B","2024-01-04","2024-01-10","2024-01-12",15.57,"Late",8,2
214,214,"Carrier D","2024-01-03","2024-01-08","2024-01-08",53.97,"On Time",5,0
215,215,"Carrier B","2024-01-05","2024-01-10","2024-01-10",13.44,"On Time",5,0
216,216,"Carrier B","2024-01-05","2024-01-10","2024-01-10",6.34,"On Time",5,0
217,217,"Carrier A","2024-01-03","2024-01-07","2024-01-07",63.15,"On Time",4,0
218,218,"Carrier A","2024-01-05","2024-01-09",NULL,77.15,"Not Delivered",NULL,0
219,219,"Carrier C","2024-01-05","2024-01-09","2024-01-09",50.28,"On Time",4,0
220,220,"Carrier D","2024-01-05","2024-01-11","2024-01-11",26.58,"On Time",6,0
221,221,"Carrier B","2024-01-04","2024-01-09","2024-01-09",64.31,"On Time",5,0
222,222,"Carrier D","2024-01-04","2024-01-07","2024-01-10",52.64,"Late",6,3
223,223,"Carrier D","2024-01-04","2024-01-10","2024-01-15",30.25,"Late",11,5
224,224,"Carrier D","2024-01-05","2024-01-10","2024-01-10",12.40,"On Time",5,0
225,225,"Carrier D","2024-01-04","2024-01-12","2024-01-12",45.53,"On Time",8,0
226,226,"Carrier B","2024-01-06","2024-01-12","2024-01-14",6.19,"Late",8,2
227,227,"Carrier B","2024-01-05","2024-01-07","2024-01-07",66.71,"On Time",2,0
228,228,"Carrier C","2024-01-04","2024-01-10","2024-01-10",33.68,"On Time",6,0
229,229,"Carrier A","2024-01-05","2024-01-11","2024-01-14",7.51,"Late",9,3
230,230,"Carrier C","2024-01-06","2024-01-12","2024-01-12",32.49,"On Time",6,0
231,231,"Carrier C","2024-01-05","2024-01-09","2024-01-07",61.54,"On Time",2,0
232,232,"Carrier C","2024-01-06","2024-01-09","2024-01-07",59.01,"On Time",1,0
233,233,"Carrier D","2024-01-05","2024-01-08","2024-01-10",77.22,"Late",5,2
234,234,"Carrier B","2024-01-05","2024-01-08","2024-01-08",65.93,"On Time",3,0
235,235,"Carrier D","2024-01-04","2024-01-09",NULL,11.53,"Not Delivered",NULL,0
236,236,"Carrier C","2024-01-04","2024-01-07","2024-01-09",44.20,"Late",5,2
237,237,"Carrier B","2024-01-04","2024-01-11","2024-01-11",73.95,"On Time",7,0
238,238,"Carrier C","2024-01-06","2024-01-11","2024-01-14",57.12,"Late",8,3
239,239,"Carrier A","2024-01-06","2024-01-10",NULL,51.39,"Not Delivered",NULL,0
240,240,"Carrier B","2024-01-04","2024-01-09","2024-01-09",25.06,"On Time",5,0
241,241,"Carrier C","2024-01-04","2024-01-07",NULL,60.95,"Not Delivered",NULL,0
242,242,"Carrier A","2024-01-05","2024-01-09",NULL,40.30,"Not Delivered",NULL,0
243,243,"Carrier A","2024-01-04","2024-01-08","2024-01-08",5.45,"On Time",4,0
244,244,"Carrier D","2024-01-05","2024-01-09","2024-01-08",68.67,"On Time",3,0
245,245,"Carrier C","2024-01-06","2024-01-11","2024-01-18",81.03,"Late",12,7
246,246,"Carrier B","2024-01-05","2024-01-11","2024-01-11",77.79,"On Time",6,0
247,247,"Carrier A","2024-01-06","2024-01-07","2024-01-07",8.37,"On Time",1,0
248,248,"Carrier A","2024-01-06","2024-01-09","2024-01-14",30.06,"Late",8,5
249,249,"Carrier B","2024-01-05","2024-01-07","2024-01-10",6.96,"Late",5,3
250,250,"Carrier A","2024-01-04","2024-01-09","2024-01-10",62.35,"Late",6,1
251,251,"Carrier D","2024-01-06","2024-01-07","2024-01-08",45.94,"Late",2,1
252,252,"Carrier D","2024-01-05","2024-01-11","2024-01-11",11.70,"On Time",6,0
253,253,"Carrier B","2024-01-06","2024-01-10","2024-01-11",26.16,"Late",5,1
254,254,"Carrier C","2024-01-05","2024-01-12","2024-01-12",38.87,"On Time",7,0
255,255,"Carrier C","2024-01-04","2024-01-10","2024-01-11",63.71,"Late",7,1
256,256,"Carrier A","2024-01-06","2024-01-09","2024-01-12",48.30,"Late",6,3
257,257,"Carrier B","2024-01-05","2024-01-08","2024-01-08",73.97,"On Time",3,0
258,258,"Carrier C","2024-01-04","2024-01-08","2024-01-09",74.31,"Late",5,1
259,259,"Carrier C","2024-01-04","2024-01-10","2024-01-10",46.70,"On Time",6,0
260,260,"Carrier C","2024-01-06","2024-01-07","2024-01-07",56.66,"On Time",1,0
261,261,"Carrier D","2024-01-04","2024-01-08","2024-01-08",31.26,"On Time",4,0
262,262,"Carrier C","2024-01-06","2024-01-11","2024-01-12",52.59,"Late",6,1
263,263,"Carrier C","2024-01-06","2024-01-11","2024-01-11",50.65,"On Time",5,0
264,264,"Carrier A","2024-01-05","2024-01-10","2024-01-11",32.17,"Late",6,1
265,265,"Carrier A","2024-01-06","2024-01-11","2024-01-16",17.78,"Late",10,5
266,266,"Carrier C","2024-01-05","2024-01-07","2024-01-07",62.50,"On Time",2,0
267,267,"Carrier D","2024-01-06","2024-01-07","2024-01-09",38.76,"Late",3,2
268,268,"Carrier C","2024-01-06","2024-01-11","2024-01-09",20.65,"On Time",3,0
269,269,"Carrier D","2024-01-04","2024-01-09","2024-01-09",39.84,"On Time",5,0
270,270,"Carrier A","2024-01-05","2024-01-09","2024-01-11",49.55,"Late",6,2
271,271,"Carrier B","2024-01-05","2024-01-12","2024-01-17",13.62,"Late",12,5
272,272,"Carrier B","2024-01-06","2024-01-09",NULL,9.05,"Not Delivered",NULL,0
273,273,"Carrier B","2024-01-05","2024-01-07","2024-01-09",39.58,"Late",4,2
274,274,"Carrier B","2024-01-05","2024-01-10","2024-01-10",83.91,"On Time",5,0
275,275,"Carrier A","2024-01-06","2024-01-07","2024-01-05",73.84,"On Time",-1,0
276,276,"Carrier A","2024-01-04","2024-01-11","2024-01-11",51.89,"On Time",7,0
277,277,"Carrier A","2024-01-05","2024-01-07","2024-01-07",22.38,"On Time",2,0
278,278,"Carrier C","2024-01-05","2024-01-11","2024-01-11",52.50,"On Time",6,0
279,279,"Carrier A","2024-01-06","2024-01-10","2024-01-10",82.89,"On Time",4,0
280,280,"Carrier B","2024-01-05","2024-01-08","2024-01-08",40.13,"On Time",3,0
281,281,"Carrier C","2024-01-05","2024-01-12","2024-01-12",61.58,"On Time",7,0
282,282,"Carrier D","2024-01-05","2024-01-08","2024-01-13",49.06,"Late",8,5
283,283,"Carrier C","2024-01-06","2024-01-10","2024-01-10",71.34,"On Time",4,0
284,284,"Carrier A","2024-01-05","2024-01-09","2024-01-09",69.41,"On Time",4,0
285,285,"Carrier B","2024-01-06","2024-01-11","2024-01-11",17.76,"On Time",5,0
286,286,"Carrier A","2024-01-06","2024-01-10","2024-01-13",73.47,"Late",7,3
287,287,"Carrier C","2024-01-05","2024-01-12","2024-01-13",80.77,"Late",8,1
288,288,"Carrier C","2024-01-07","2024-01-08","2024-01-08",20.79,"On Time",1,0
289,289,"Carrier D","2024-01-06","2024-01-11","2024-01-12",74.49,"Late",6,1
290,290,"Carrier C","2024-01-06","2024-01-13","2024-01-13",22.97,"On Time",7,0
291,291,"Carrier B","2024-01-07","2024-01-12","2024-01-12",25.16,"On Time",5,0
292,292,"Carrier A","2024-01-05","2024-01-10","2024-01-12",39.97,"Late",7,2
293,293,"Carrier A","2024-01-06","2024-01-09","2024-01-10",12.55,"Late",4,1
294,294,"Carrier A","2024-01-07","2024-01-08","2024-01-08",83.07,"On Time",1,0
295,295,"Carrier B","2024-01-07","2024-01-13","2024-01-13",14.50,"On Time",6,0
296,296,"Carrier C","2024-01-05","2024-01-11","2024-01-11",43.19,"On Time",6,0
297,297,"Carrier A","2024-01-06","2024-01-11","2024-01-12",38.76,"Late",6,1
298,298,"Carrier D","2024-01-07","2024-01-09","2024-01-08",40.55,"On Time",1,0
299,299,"Carrier D","2024-01-05","2024-01-08","2024-01-08",62.91,"On Time",3,0
300,300,"Carrier B","2024-01-07","2024-01-08","2024-01-10",42.34,"Late",3,2
301,301,"Carrier D","2024-01-05","2024-01-13","2024-01-13",23.56,"On Time",8,0
302,302,"Carrier B","2024-01-05","2024-01-09","2024-01-09",79.62,"On Time",4,0
303,303,"Carrier D","2024-01-05","2024-01-10","2024-01-10",76.96,"On Time",5,0
304,304,"Carrier C","2024-01-05","2024-01-11","2024-01-12",58.05,"Late",7,1
305,305,"Carrier B","2024-01-05","2024-01-08","2024-01-11",5.55,"Late",6,3
306,306,"Carrier D","2024-01-06","2024-01-13","2024-01-13",66.02,"On Time",7,0
307,307,"Carrier A","2024-01-07","2024-01-10","2024-01-10",43.32,"On Time",3,0
308,308,"Carrier C","2024-01-07","2024-01-11","2024-01-11",12.05,"On Time",4,0
309,309,"Carrier A","2024-01-06","2024-01-12","2024-01-12",40.45,"On Time",6,0
