shipment_id,order_id,ship_date,expected_delivery_date,actual_delivery_date,carrier,shipping_cost
74,74,2024-01-03,2024-01-07,,Carrier B,64.82
75,75,2024-01-01,2024-01-04,2024-01-09,Carrier C,60.18
76,76,2024-01-01,2024-01-04,2024-01-04,Carrier C,48.86
77,77,2024-01-03,2024-01-04,2024-01-03,Carrier B,19.76
78,78,2024-01-02,2024-01-04,,Carrier C,63.21
79,79,2024-01-01,2024-01-08,2024-01-09,Carrier B,73.49
80,80,2024-01-03,2024-01-06,2024-01-06,Carrier A,26.9
81,81,2024-01-02,2024-01-09,2024-01-10,Carrier C,40.11
82,82,2024-01-03,2024-01-05,2024-01-05,Carrier C,23.56
83,83,2024-01-03,2024-01-09,2024-01-09,Carrier C,19.03
84,84,2024-01-04,2024-01-10,2024-01-10,Carrier C,47.75
85,85,2024-01-03,2024-01-06,2024-01-05,Carrier B,69.24
86,86,2024-01-02,2024-01-06,2024-01-09,Carrier D,40.77
87,87,2024-01-04,2024-01-05,2024-01-05,Carrier C,41.26
88,88,2024-01-03,2024-01-09,2024-01-09,Carrier B,22.21
89,89,2024-01-02,2024-01-07,2024-01-07,Carrier C,53.6
90,90,2024-01-03,2024-01-09,2024-01-08,Carrier B,76.82
91,91,2024-01-02,2024-01-08,2024-01-10,Carrier A,46.58
92,92,2024-01-04,2024-01-10,2024-01-10,Carrier B,24.33
93,93,2024-01-02,2024-01-09,2024-01-09,Carrier B,66.6
94,94,2024-01-03,2024-01-10,2024-01-10,Carrier A,49.07
95,95,2024-01-03,2024-01-05,2024-01-07,Carrier A,24.71
96,96,2024-01-04,2024-01-06,2024-01-06,Carrier C,70.62
97,97,2024-01-04,2024-01-05,2024-01-04,Carrier D,49.51
98,98,2024-01-03,2024-01-07,2024-01-07,Carrier C,52.23
99,99,2024-01-02,2024-01-06,2024-01-08,Carrier D,46.62
100,100,2024-01-03,2024-01-09,2024-01-14,Carrier C,38.68
101,101,2024-01-02,2024-01-09,2024-01-09,Carrier C,68.93
102,102,2024-01-02,2024-01-07,2024-01-10,Carrier A,13.56
103,103,2024-01-03,2024-01-07,2024-01-07,Carrier D,78.54
104,104,2024-01-03,2024-01-06,2024-01-06,Carrier A,38.09
105,105,2024-01-04,2024-01-08,2024-01-09,Carrier D,56.09
106,106,2024-01-03,2024-01-10,2024-01-10,Carrier A,64.0
107,107,2024-01-03,2024-01-06,2024-01-04,Carrier C,67.3
108,108,2024-01-02,2024-01-06,2024-01-06,Carrier A,78.87
109,109,2024-01-03,2024-01-07,2024-01-07,Carrier A,19.11
110,110,2024-01-04,2024-01-09,2024-01-11,Carrier A,58.34
111,111,2024-01-03,2024-01-10,2024-01-10,Carrier B,35.08
112,112,2024-01-03,2024-01-10,2024-01-12,Carrier A,63.85
113,113,2024-01-03,2024-01-06,,Carrier A,50.07
114,114,2024-01-03,2024-01-10,2024-01-11,Carrier B,27.39
115,115,2024-01-04,2024-01-08,2024-01-08,Carrier D,81.43
116,116,2024-01-04,2024-01-07,2024-01-06,Carrier A,6.13
117,117,2024-01-02,2024-01-10,2024-01-11,Carrier A,27.05
118,118,2024-01-02,2024-01-05,2024-01-05,Carrier B,17.24
119,119,2024-01-04,2024-01-06,2024-01-07,Carrier A,6.17
120,120,2024-01-04,2024-01-05,2024-01-12,Carrier C,61.48
121,121,2024-01-02,2024-01-07,2024-01-09,Carrier D,5.54
122,122,2024-01-02,2024-01-10,2024-01-10,Carrier B,27.9
123,123,2024-01-03,2024-01-07,2024-01-05,Carrier A,42.38
124,124,2024-01-04,2024-01-08,2024-01-08,Carrier A,52.12
125,125,2024-01-04,2024-01-07,2024-01-07,Carrier C,50.71
126,126,2024-01-04,2024-01-05,2024-01-10,Carrier D,84.45
127,127,2024-01-04,2024-01-06,2024-01-05,Carrier A,62.74
128,128,2024-01-03,2024-01-10,2024-01-10,Carrier C,11.76
129,129,2024-01-02,2024-01-09,2024-01-10,Carrier C,79.43
130,130,2024-01-04,2024-01-09,2024-01-09,Carrier C,15.73
131,131,2024-01-04,2024-01-07,2024-01-07,Carrier B,65.67
132,132,2024-01-03,2024-01-08,2024-01-08,Carrier C,56.14
133,133,2024-01-02,2024-01-06,2024-01-06,Carrier D,49.3
134,134,2024-01-02,2024-01-08,2024-01-08,Carrier C,73.21
135,135,2024-01-04,2024-01-07,2024-01-07,Carrier D,66.99
136,136,2024-01-02,2024-01-08,2024-01-09,Carrier C,48.41
137,137,2024-01-02,2024-01-08,2024-01-06,Carrier B,21.34
138,138,2024-01-03,2024-01-09,2024-01-08,Carrier B,38.92
139,139,2024-01-04,2024-01-09,2024-01-09,Carrier A,52.25
140,140,2024-01-02,2024-01-09,2024-01-12,Carrier C,81.12
141,141,2024-01-03,2024-01-10,2024-01-11,Carrier D,40.27
142,142,2024-01-03,2024-01-08,2024-01-08,Carrier D,13.49
143,143,2024-01-05,2024-01-06,2024-01-06,Carrier D,33.96
144,144,2024-01-04,2024-01-10,,Carrier A,73.41
145,145,2024-01-05,2024-01-07,2024-01-07,Carrier D,47.5
146,146,2024-01-05,2024-01-11,2024-01-13,Carrier D,59.63
147,147,2024-01-04,2024-01-11,2024-01-12,Carrier D,26.17
148,148,2024-01-04,2024-01-08,2024-01-08,Carrier D,38.76
149,149,2024-01-05,2024-01-07,2024-01-12,Carrier A,41.82
150,150,2024-01-05,2024-01-10,2024-01-10,Carrier D,34.32
151,151,2024-01-05,2024-01-09,,Carrier D,16.44
152,152,2024-01-04,2024-01-08,2024-01-07,Carrier D,60.74
153,153,2024-01-03,2024-01-11,2024-01-12,Carrier C,66.13
154,154,2024-01-04,2024-01-09,2024-01-08,Carrier D,82.45
155,155,2024-01-05,2024-01-07,2024-01-07,Carrier A,55.4
156,156,2024-01-05,2024-01-09,2024-01-10,Carrier A,73.84
157,157,2024-01-05,2024-01-08,2024-01-08,Carrier B,72.52
158,158,2024-01-05,2024-01-09,2024-01-09,Carrier D,48.92
159,159,2024-01-03,2024-01-08,,Carrier C,81.16
160,160,2024-01-04,2024-01-08,2024-01-08,Carrier B,65.96
161,161,2024-01-03,2024-01-07,2024-01-07,Carrier D,6.88
162,162,2024-01-03,2024-01-09,2024-01-09,Carrier B,6.38
163,163,2024-01-03,2024-01-08,2024-01-10,Carrier C,54.29
164,164,2024-01-03,2024-01-09,2024-01-09,Carrier C,59.44
165,165,2024-01-03,2024-01-07,2024-01-07,Carrier C,60.75
166,166,2024-01-04,2024-01-06,2024-01-06,Carrier B,29.06
167,167,2024-01-03,2024-01-07,2024-01-09,Carrier A,74.4
168,168,2024-01-03,2024-01-11,2024-01-11,Carrier A,68.27
169,169,2024-01-05,2024-01-08,,Carrier B,77.78
170,170,2024-01-04,2024-01-10,2024-01-08,Carrier D,81.18
171,171,2024-01-04,2024-01-11,2024-01-11,Carrier D,57.21
172,172,2024-01-05,2024-01-09,2024-01-14,Carrier C,23.22
173,173,2024-01-03,2024-01-08,2024-01-10,Carrier B,26.07
174,174,2024-01-03,2024-01-07,2024-01-07,Carrier A,19.26
175,175,2024-01-03,2024-01-08,2024-01-07,Carrier A,46.73
176,176,2024-01-03,2024-01-08,2024-01-08,Carrier A,70.25
177,177,2024-01-03,2024-01-07,2024-01-08,Carrier C,32.62
178,178,2024-01-04,2024-01-10,2024-01-10,Carrier B,35.76
179,179,2024-01-04,2024-01-11,2024-01-12,Carrier C,68.97
180,180,2024-01-04,2024-01-07,2024-01-06,Carrier D,9.47
181,181,2024-01-05,2024-01-07,2024-01-07,Carrier D,36.85
182,182,2024-01-04,2024-01-08,2024-01-08,Carrier D,26.74
183,183,2024-01-03,2024-01-11,2024-01-11,Carrier C,72.3
184,184,2024-01-05,2024-01-08,2024-01-11,Carrier D,32.91
185,185,2024-01-03,2024-01-09,2024-01-09,Carrier C,72.57
186,186,2024-01-03,2024-01-08,2024-01-08,Carrier B,69.07
187,187,2024-01-05,2024-01-08,2024-01-10,Carrier B,80.7
188,188,2024-01-04,2024-01-07,2024-01-07,Carrier B,30.33
189,189,2024-01-04,2024-01-11,2024-01-11,Carrier A,76.79
190,190,2024-01-04,2024-01-11,2024-01-11,Carrier A,59.4
191,191,2024-01-04,2024-01-09,2024-01-11,Carrier A,12.73
192,192,2024-01-05,2024-01-09,2024-01-12,Carrier C,65.48
193,193,2024-01-03,2024-01-07,2024-01-07,Carrier C,27.1
194,194,2024-01-04,2024-01-07,,Carrier A,84.78
195,195,2024-01-04,2024-01-10,2024-01-10,Carrier C,74.34
196,196,2024-01-05,2024-01-08,,Carrier A,67.27
197,197,2024-01-03,2024-01-06,2024-01-09,Carrier A,64.06
198,198,2024-01-03,2024-01-06,2024-01-08,Carrier C,43.38
199,199,2024-01-04,2024-01-07,2024-01-07,Carrier D,44.64
200,200,2024-01-04,2024-01-09,2024-01-10,Carrier B,69.48
201,201,2024-01-05,2024-01-06,2024-01-07,Carrier A,37.31
202,202,2024-01-04,2024-01-06,2024-01-06,Carrier A,19.08
203,203,2024-01-03,2024-01-06,2024-01-04,Carrier D,75.38
204,204,2024-01-05,2024-01-08,2024-01-07,Carrier B,50.07
205,205,2024-01-04,2024-01-07,2024-01-12,Carrier B,48.77
206,206,2024-01-05,2024-01-11,,Carrier A,24.67
207,207,2024-01-03,2024-01-09,2024-01-09,Carrier D,49.08
208,208,2024-01-03,2024-01-09,2024-01-09,Carrier C,40.71
209,209,2024-01-03,2024-01-06,2024-01-08,Carrier C,38.29
210,210,2024-01-04,2024-01-10,2024-01-10,Carrier D,70.0
211,211,2024-01-03,2024-01-10,,Carrier C,31.75
212,212,2024-01-05,2024-01-09,2024-01-11,Carrier B,70.57
213,213,2024-01-04,2024-01-10,2024-01-12,Carrier B,15.57
214,214,2024-01-03,2024-01-08,2024-01-08,Carrier D,53.97
215,215,2024-01-05,2024-01-10,2024-01-10,Carrier B,13.44
216,216,2024-01-05,2024-01-10,2024-01-10,Carrier B,6.34
217,217,2024-01-03,2024-01-07,2024-01-07,Carrier A,63.15
218,218,2024-01-05,2024-01-09,,Carrier A,77.15
219,219,2024-01-05,2024-01-09,2024-01-09,Carrier C,50.28
220,220,2024-01-05,2024-01-11,2024-01-11,Carrier D,26.58
221,221,2024-01-04,2024-01-09,2024-01-09,Carrier B,64.31
222,222,2024-01-04,2024-01-07,2024-01-10,Carrier D,52.64
223,223,2024-01-04,2024-01-10,2024-01-15,Carrier D,30.25
224,224,2024-01-05,2024-01-10,2024-01-10,Carrier D,12.4
225,225,2024-01-04,2024-01-12,2024-01-12,Carrier D,45.53
226,226,2024-01-06,2024-01-12,2024-01-14,Carrier B,6.19
227,227,2024-01-05,2024-01-07,2024-01-07,Carrier B,66.71
228,228,2024-01-04,2024-01-10,2024-01-10,Carrier C,33.68
229,229,2024-01-05,2024-01-11,2024-01-14,Carrier A,7.51
230,230,2024-01-06,2024-01-12,2024-01-12,Carrier C,32.49
231,231,2024-01-05,2024-01-09,2024-01-07,Carrier C,61.54
232,232,2024-01-06,2024-01-09,2024-01-07,Carrier C,59.01
233,233,2024-01-05,2024-01-08,2024-01-10,Carrier D,77.22
234,234,2024-01-05,2024-01-08,2024-01-08,Carrier B,65.93
235,235,2024-01-04,2024-01-09,,Carrier D,11.53
236,236,2024-01-04,2024-01-07,2024-01-09,Carrier C,44.2
237,237,2024-01-04,2024-01-11,2024-01-11,Carrier B,73.95
238,238,2024-01-06,2024-01-11,2024-01-14,Carrier C,57.12
239,239,2024-01-06,2024-01-10,,Carrier A,51.39
240,240,2024-01-04,2024-01-09,2024-01-09,Carrier B,25.06
241,241,2024-01-04,2024-01-07,,Carrier C,60.95
242,242,2024-01-05,2024-01-09,,Carrier A,40.3
243,243,2024-01-04,2024-01-08,2024-01-08,Carrier A,5.45
244,244,2024-01-05,2024-01-09,2024-01-08,Carrier D,68.67
245,245,2024-01-06,2024-01-11,2024-01-18,Carrier C,81.03
246,246,2024-01-05,2024-01-11,2024-01-11,Carrier B,77.79
247,247,2024-01-06,2024-01-07,2024-01-07,Carrier A,8.37
248,248,2024-01-06,2024-01-09,2024-01-14,Carrier A,30.06
249,249,2024-01-05,2024-01-07,2024-01-10,Carrier B,6.96
250,250,2024-01-04,2024-01-09,2024-01-10,Carrier A,62.35
251,251,2024-01-06,2024-01-07,2024-01-08,Carrier D,45.94
252,252,2024-01-05,2024-01-11,2024-01-11,Carrier D,11.7
253,253,2024-01-06,2024-01-10,2024-01-11,Carrier B,26.16
254,254,2024-01-05,2024-01-12,2024-01-12,Carrier C,38.87
255,255,2024-01-04,2024-01-10,2024-01-11,Carrier C,63.71
256,256,2024-01-06,2024-01-09,2024-01-12,Carrier A,48.3
257,257,2024-01-05,2024-01-08,2024-01-08,Carrier B,73.97
258,258,2024-01-04,2024-01-08,2024-01-09,Carrier C,74.31
259,259,2024-01-04,2024-01-10,2024-01-10,Carrier C,46.7
260,260,2024-01-06,2024-01-07,2024-01-07,Carrier C,56.66
261,261,2024-01-04,2024-01-08,2024-01-08,Carrier D,31.26
262,262,2024-01-06,2024-01-11,2024-01-12,Carrier C,52.59
263,263,2024-01-06,2024-01-11,2024-01-11,Carrier C,50.65
264,264,2024-01-05,2024-01-10,2024-01-11,Carrier A,32.17
265,265,2024-01-06,2024-01-11,2024-01-16,Carrier A,17.78
266,266,2024-01-05,2024-01-07,2024-01-07,Carrier C,62.5
267,267,2024-01-06,2024-01-07,2024-01-09,Carrier D,38.76
268,268,2024-01-06,2024-01-11,2024-01-09,Carrier C,20.65
269,269,2024-01-04,2024-01-09,2024-01-09,Carrier D,39.84
270,270,2024-01-05,2024-01-09,2024-01-11,Carrier A,49.55
271,271,2024-01-05,2024-01-12,2024-01-17,Carrier B,13.62
272,272,2024-01-06,2024-01-09,,Carrier B,9.05
273,273,2024-01-05,2024-01-07,2024-01-09,Carrier B,39.58
274,274,2024-01-05,2024-01-10,2024-01-10,Carrier B,83.91
275,275,2024-01-06,2024-01-07,2024-01-05,Carrier A,73.84
276,276,2024-01-04,2024-01-11,2024-01-11,Carrier A,51.89
277,277,2024-01-05,2024-01-07,2024-01-07,Carrier A,22.38
278,278,2024-01-05,2024-01-11,2024-01-11,Carrier C,52.5
279,279,2024-01-06,2024-01-10,2024-01-10,Carrier A,82.89
280,280,2024-01-05,2024-01-08,2024-01-08,Carrier B,40.13
281,281,2024-01-05,2024-01-12,2024-01-12,Carrier C,61.58
282,282,2024-01-05,2024-01-08,2024-01-13,Carrier D,49.06
283,283,2024-01-06,2024-01-10,2024-01-10,Carrier C,71.34
284,284,2024-01-05,2024-01-09,2024-01-09,Carrier A,69.41
285,285,2024-01-06,2024-01-11,2024-01-11,Carrier B,17.76
286,286,2024-01-06,2024-01-10,2024-01-13,Carrier A,73.47
287,287,2024-01-05,2024-01-12,2024-01-13,Carrier C,80.77
288,288,2024-01-07,2024-01-08,2024-01-08,Carrier C,20.79
289,289,2024-01-06,2024-01-11,2024-01-12,Carrier D,74.49
290,290,2024-01-06,2024-01-13,2024-01-13,Carrier C,22.97
291,291,2024-01-07,2024-01-12,2024-01-12,Carrier B,25.16
292,292,2024-01-05,2024-01-10,2024-01-12,Carrier A,39.97
293,293,2024-01-06,2024-01-09,2024-01-10,Carrier A,12.55
294,294,2024-01-07,2024-01-08,2024-01-08,Carrier A,83.07
295,295,2024-01-07,2024-01-13,2024-01-13,Carrier B,14.5
296,296,2024-01-05,2024-01-11,2024-01-11,Carrier C,43.19
297,297,2024-01-06,2024-01-11,2024-01-12,Carrier A,38.76
298,298,2024-01-07,2024-01-09,2024-01-08,Carrier D,40.55
299,299,2024-01-05,2024-01-08,2024-01-08,Carrier D,62.91
300,300,2024-01-07,2024-01-08,2024-01-10,Carrier B,42.34
301,301,2024-01-05,2024-01-13,2024-01-13,Carrier D,23.56
302,302,2024-01-05,2024-01-09,2024-01-09,Carrier B,79.62
303,303,2024-01-05,2024-01-10,2024-01-10,Carrier D,76.96
304,304,2024-01-05,2024-01-11,2024-01-12,Carrier C,58.05
305,305,2024-01-05,2024-01-08,2024-01-11,Carrier B,5.55
306,306,2024-01-06,2024-01-13,2024-01-13,Carrier D,66.02
307,307,2024-01-07,2024-01-10,2024-01-10,Carrier A,43.32
308,308,2024-01-07,2024-01-11,2024-01-11,Carrier C,12.05
309,309,2024-01-06,2024-01-12,2024-01-12,Carrier A,40.45
310,310,2024-01-07,2024-01-12,2024-01-14,Carrier D,82.86
311,311,2024-01-07,2024-01-12,,Carrier A,25.34
312,312,2024-01-06,2024-01-12,2024-01-13,Carrier A,42.07
313,313,2024-01-07,2024-01-12,2024-01-12,Carrier C,10.34
314,314,2024-01-05,2024-01-10,2024-01-10,Carrier A,68.16
315,315,2024-01-06,2024-01-10,2024-01-10,Carrier C,66.3
316,316,2024-01-07,2024-01-09,2024-01-09,Carrier D,12.76
317,317,2024-01-06,2024-01-08,2024-01-08,Carrier A,19.48
318,318,2024-01-06,2024-01-12,2024-01-12,Carrier D,21.66
319,319,2024-01-05,2024-01-09,2024-01-09,Carrier C,54.06
320,320,2024-01-07,2024-01-10,,Carrier C,47.5
321,321,2024-01-06,2024-01-08,2024-01-08,Carrier D,49.99
322,322,2024-01-06,2024-01-11,,Carrier A,75.94
323,323,2024-01-06,2024-01-13,2024-01-13,Carrier C,60.33
324,324,2024-01-05,2024-01-13,2024-01-14,Carrier A,8.85
325,325,2024-01-05,2024-01-13,2024-01-13,Carrier A,18.95
326,326,2024-01-07,2024-01-10,2024-01-11,Carrier A,27.21
327,327,2024-01-07,2024-01-08,2024-01-08,Carrier C,55.79
328,328,2024-01-06,2024-01-11,2024-01-16,Carrier B,56.88
329,329,2024-01-07,2024-01-09,2024-01-12,Carrier C,45.2
330,330,2024-01-05,2024-01-08,2024-01-11,Carrier A,80.54
331,331,2024-01-05,2024-01-12,2024-01-12,Carrier D,11.3
332,332,2024-01-05,2024-01-08,2024-01-08,Carrier D,56.81
333,333,2024-01-07,2024-01-09,2024-01-10,Carrier B,9.45
334,334,2024-01-07,2024-01-13,2024-01-13,Carrier C,83.71
335,335,2024-01-05,2024-01-08,2024-01-10,Carrier C,66.82
336,336,2024-01-07,2024-01-08,2024-01-07,Carrier A,78.31
337,337,2024-01-07,2024-01-08,2024-01-10,Carrier C,84.82
338,338,2024-01-05,2024-01-08,2024-01-08,Carrier A,49.04
339,339,2024-01-06,2024-01-09,2024-01-09,Carrier D,50.13
340,340,2024-01-06,2024-01-10,,Carrier B,77.99
341,341,2024-01-06,2024-01-09,,Carrier C,23.45
342,342,2024-01-06,2024-01-11,,Carrier B,21.7
343,343,2024-01-05,2024-01-08,,Carrier C,9.55
344,344,2024-01-07,2024-01-10,2024-01-10,Carrier D,66.83
345,345,2024-01-05,2024-01-09,2024-01-14,Carrier B,58.94
346,346,2024-01-06,2024-01-09,2024-01-09,Carrier A,46.48
347,347,2024-01-06,2024-01-12,2024-01-11,Carrier B,34.71
348,348,2024-01-07,2024-01-11,2024-01-11,Carrier A,30.23
349,349,2024-01-05,2024-01-10,2024-01-11,Carrier B,83.26
350,350,2024-01-07,2024-01-08,2024-01-08,Carrier A,24.37
351,351,2024-01-06,2024-01-08,2024-01-08,Carrier C,49.42
352,352,2024-01-06,2024-01-09,2024-01-08,Carrier C,52.01
353,353,2024-01-06,2024-01-09,2024-01-09,Carrier A,71.77
354,354,2024-01-06,2024-01-13,2024-01-16,Carrier D,67.76
355,355,2024-01-05,2024-01-08,2024-01-10,Carrier B,27.3
356,356,2024-01-05,2024-01-10,2024-01-10,Carrier C,41.31
357,357,2024-01-05,2024-01-11,2024-01-10,Carrier A,55.3
358,358,2024-01-06,2024-01-09,2024-01-09,Carrier C,57.51
359,359,2024-01-06,2024-01-11,2024-01-11,Carrier D,11.94
360,360,2024-01-05,2024-01-10,2024-01-10,Carrier D,38.76
361,361,2024-01-07,2024-01-08,2024-01-08,Carrier B,73.75
362,362,2024-01-06,2024-01-09,2024-01-10,Carrier C,80.84
363,363,2024-01-07,2024-01-13,2024-01-13,Carrier C,78.53
364,364,2024-01-05,2024-01-08,2024-01-08,Carrier A,32.63
365,365,2024-01-05,2024-01-08,2024-01-13,Carrier D,69.13
366,366,2024-01-05,2024-01-13,2024-01-11,Carrier C,7.01
367,367,2024-01-07,2024-01-11,2024-01-11,Carrier A,11.24
368,368,2024-01-05,2024-01-08,2024-01-08,Carrier C,79.27
369,369,2024-01-06,2024-01-14,2024-01-15,Carrier D,83.32
370,370,2024-01-07,2024-01-12,2024-01-13,Carrier C,23.85
371,371,2024-01-08,2024-01-10,2024-01-09,Carrier C,56.14
372,372,2024-01-08,2024-01-13,2024-01-14,Carrier D,11.33
373,373,2024-01-08,2024-01-10,2024-01-10,Carrier A,23.05
374,374,2024-01-07,2024-01-13,2024-01-13,Carrier A,40.84
375,375,2024-01-06,2024-01-09,,Carrier A,50.37
376,376,2024-01-08,2024-01-14,,Carrier A,15.06
377,377,2024-01-08,2024-01-11,,Carrier D,44.31
378,378,2024-01-06,2024-01-09,2024-01-09,Carrier B,78.21
379,379,2024-01-08,2024-01-09,2024-01-11,Carrier B,63.05
380,380,2024-01-08,2024-01-13,2024-01-12,Carrier A,66.39
381,381,2024-01-06,2024-01-11,2024-01-13,Carrier D,80.74
382,382,2024-01-06,2024-01-09,2024-01-09,Carrier D,65.53
383,383,2024-01-06,2024-01-11,2024-01-11,Carrier C,15.93
384,384,2024-01-08,2024-01-14,2024-01-16,Carrier D,75.47
385,385,2024-01-06,2024-01-13,2024-01-13,Carrier D,59.73
386,386,2024-01-08,2024-01-09,2024-01-11,Carrier A,39.13
387,387,2024-01-07,2024-01-13,2024-01-13,Carrier A,53.69
388,388,2024-01-08,2024-01-09,2024-01-07,Carrier A,53.49
389,389,2024-01-08,2024-01-12,2024-01-12,Carrier D,81.21
390,390,2024-01-07,2024-01-13,2024-01-13,Carrier B,43.23
391,391,2024-01-08,2024-01-09,2024-01-09,Carrier D,63.9
392,392,2024-01-08,2024-01-11,2024-01-18,Carrier B,39.61
393,393,2024-01-07,2024-01-12,,Carrier B,72.94
394,394,2024-01-07,2024-01-11,,Carrier B,68.0
395,395,2024-01-08,2024-01-14,2024-01-14,Carrier C,34.97
396,396,2024-01-06,2024-01-12,2024-01-12,Carrier C,46.05
397,397,2024-01-07,2024-01-14,2024-01-14,Carrier D,21.04
398,398,2024-01-07,2024-01-14,2024-01-14,Carrier B,57.7
399,399,2024-01-07,2024-01-09,2024-01-09,Carrier A,9.57
400,400,2024-01-08,2024-01-14,2024-01-19,Carrier A,67.05
401,401,2024-01-07,2024-01-14,2024-01-14,Carrier A,62.85
402,402,2024-01-06,2024-01-13,2024-01-13,Carrier C,68.8
403,403,2024-01-06,2024-01-10,2024-01-10,Carrier C,58.34
